ブラウザ,オペレーティング システム,ユーザー,新規ユーザー,セッション,直帰率,ページ/セッション,平均セッション時間
Chrome,Macintosh,"1,345","1,278","1,932",45.65%,2.6,0:01:40
Chrome,Windows,"1,124","1,103","1,313",49.28%,2.49,0:01:30
Safari,iOS,428,390,534,52.81%,1.92,0:01:01
Chrome,Android,170,160,204,61.27%,2.14,0:00:56
Firefox,Windows,178,172,197,49.75%,2.3,0:01:24
Safari,Macintosh,138,126,170,50.59%,2.54,0:01:05
Internet Explorer,Windows,151,144,166,53.01%,2.14,0:00:49
Safari (in-app),iOS,113,90,127,82.68%,1.35,0:00:39
Firefox,Macintosh,78,75,97,54.64%,1.99,0:00:58
Chrome,iOS,56,49,83,49.40%,2.04,0:00:57
Chrome,Linux,53,53,54,75.93%,1.44,0:00:20
Edge,Windows,41,39,44,43.18%,2.32,0:02:19
Android Webview,Android,21,21,26,69.23%,1.54,0:01:12
Opera,Windows,3,2,26,96.15%,1.04,0:00:24
Sogou web spider,(not set),19,19,19,100.00%,1,0:00:00
Safari,Linux,14,14,14,100.00%,1,0:00:00
Firefox,Linux,12,11,13,69.23%,1.77,0:01:57
Android Browser,Android,9,8,11,54.55%,1.64,0:01:08
Chrome,Chrome OS,2,2,5,80.00%,1.4,0:02:15
YaBrowser,Windows,4,4,4,100.00%,1,0:00:00
Firefox,Android,2,2,2,50.00%,3,0:01:32
Opera,Linux,2,2,2,50.00%,2,0:00:58
Iron,Macintosh,1,1,1,100.00%,1,0:00:00
Mozilla,Linux,1,1,1,100.00%,1,0:00:00
Mozilla Compatible Agent,Windows,1,1,1,0.00%,6,0:00:01
Opera,Macintosh,1,1,1,0.00%,4,0:01:28
,,"3,967","3,768","5,047",50.92%,2.35,0:01:23
